word	action	band	note
# Dictionary patch layer. One word per line. Columns: word, action (allow or
# deny), band (common for allow seeds; blank for deny), note (optional).
# Allow = accept a word the base list misses, banded so it classifies right.
# Deny = reject a word the base list wrongly accepts (seeded empty for now).
# Bea flags a word, it becomes one line here, and the dictionary tunes to her.
#
# Allowlist: modern words ENABLE rejects, from the must-accept probe in
# scripts/_investigate, plus udon. All common, because they are common words.
meme	allow	common	modern
email	allow	common	modern
emailed	allow	common	modern
emojis	allow	common	modern
blog	allow	common	modern
blogger	allow	common	modern
selfie	allow	common	modern
selfies	allow	common	modern
emoji	allow	common	modern
podcast	allow	common	modern
app	allow	common	modern
wifi	allow	common	modern
website	allow	common	modern
webpage	allow	common	modern
online	allow	common	modern
internet	allow	common	modern
texting	allow	common	modern
googled	allow	common	modern
memes	allow	common	modern
unfriend	allow	common	modern
upvote	allow	common	modern
downvote	allow	common	modern
hashtag	allow	common	modern
spam	allow	common	modern
chatbot	allow	common	modern
smartphone	allow	common	modern
login	allow	common	modern
logout	allow	common	modern
cyber	allow	common	modern
screenshot	allow	common	modern
metadata	allow	common	modern
udon	allow	common	Bea flagged
#
# Denylist (Phase 1): SCOWL size-95 proper-noun and foreign warts that
# are formable from the source pool. Generated by scan, not hand-flagged.
# Real words and inflections (betcha, yeps) are deliberately kept valid.
bonjour	deny		foreign
bonsoir	deny		foreign
danke	deny		foreign
gracias	deny		foreign
hola	deny		foreign
merci	deny		foreign
aaa	deny		proper noun
aarp	deny		proper noun
abel	deny		proper noun
abib	deny		proper noun
abm	deny		proper noun
abner	deny		proper noun
abt	deny		proper noun
aclu	deny		proper noun
acris	deny		proper noun
acrita	deny		proper noun
acton	deny		proper noun
actu	deny		proper noun
aday	deny		proper noun
addis	deny		proper noun
aden	deny		proper noun
adige	deny		proper noun
adighe	deny		proper noun
aditi	deny		proper noun
adonai	deny		proper noun
advil	deny		proper noun
aegina	deny		proper noun
aegir	deny		proper noun
aeolis	deny		proper noun
aeolus	deny		proper noun
aer	deny		proper noun
aertex	deny		proper noun
aesir	deny		proper noun
afd	deny		proper noun
afp	deny		proper noun
agen	deny		proper noun
agni	deny		proper noun
ahab	deny		proper noun
ahriman	deny		proper noun
ahsan	deny		proper noun
aion	deny		proper noun
aire	deny		proper noun
aix	deny		proper noun
akey	deny		proper noun
alai	deny		proper noun
albee	deny		proper noun
albin	deny		proper noun
albula	deny		proper noun
albus	deny		proper noun
alcides	deny		proper noun
alden	deny		proper noun
alen	deny		proper noun
alep	deny		proper noun
aleppo	deny		proper noun
alfred	deny		proper noun
algic	deny		proper noun
algol	deny		proper noun
alia	deny		proper noun
alice	deny		proper noun
alioth	deny		proper noun
allan	deny		proper noun
allen	deny		proper noun
aller	deny		proper noun
allis	deny		proper noun
almon	deny		proper noun
aln	deny		proper noun
alo	deny		proper noun
alpen	deny		proper noun
alsace	deny		proper noun
altair	deny		proper noun
altus	deny		proper noun
alvia	deny		proper noun
alw	deny		proper noun
aly	deny		proper noun
amar	deny		proper noun
ambon	deny		proper noun
ame	deny		proper noun
amenia	deny		proper noun
amess	deny		proper noun
amharic	deny		proper noun
amidon	deny		proper noun
amini	deny		proper noun
ammon	deny		proper noun
ammons	deny		proper noun
amon	deny		proper noun
amoy	deny		proper noun
amphion	deny		proper noun
amy	deny		proper noun
anam	deny		proper noun
anda	deny		proper noun
anders	deny		proper noun
andes	deny		proper noun
andre	deny		proper noun
andrew	deny		proper noun
angeles	deny		proper noun
angola	deny		proper noun
annam	deny		proper noun
anne	deny		proper noun
annie	deny		proper noun
anshar	deny		proper noun
ansi	deny		proper noun
antar	deny		proper noun
antonio	deny		proper noun
antu	deny		proper noun
antum	deny		proper noun
anu	deny		proper noun
anubis	deny		proper noun
apalit	deny		proper noun
apc	deny		proper noun
apia	deny		proper noun
apl	deny		proper noun
apr	deny		proper noun
april	deny		proper noun
apsu	deny		proper noun
araby	deny		proper noun
arado	deny		proper noun
aragon	deny		proper noun
arca	deny		proper noun
argel	deny		proper noun
argo	deny		proper noun
argos	deny		proper noun
arius	deny		proper noun
arjun	deny		proper noun
armin	deny		proper noun
armine	deny		proper noun
armit	deny		proper noun
arn	deny		proper noun
arna	deny		proper noun
arno	deny		proper noun
arnold	deny		proper noun
arpanet	deny		proper noun
artemis	deny		proper noun
arter	deny		proper noun
aruba	deny		proper noun
asarh	deny		proper noun
ascher	deny		proper noun
asem	deny		proper noun
asg	deny		proper noun
asgard	deny		proper noun
ashir	deny		proper noun
ashot	deny		proper noun
ashur	deny		proper noun
asin	deny		proper noun
asio	deny		proper noun
asl	deny		proper noun
aspca	deny		proper noun
assam	deny		proper noun
assi	deny		proper noun
assis	deny		proper noun
ast	deny		proper noun
asta	deny		proper noun
asterope	deny		proper noun
astor	deny		proper noun
aswan	deny		proper noun
atar	deny		proper noun
athene	deny		proper noun
atis	deny		proper noun
atlee	deny		proper noun
atoc	deny		proper noun
atp	deny		proper noun
atreus	deny		proper noun
attal	deny		proper noun
attica	deny		proper noun
aube	deny		proper noun
aubin	deny		proper noun
auden	deny		proper noun
auster	deny		proper noun
avera	deny		proper noun
averil	deny		proper noun
awat	deny		proper noun
baar	deny		proper noun
bable	deny		proper noun
bago	deny		proper noun
baleys	deny		proper noun
bali	deny		proper noun
balli	deny		proper noun
ballo	deny		proper noun
balon	deny		proper noun
bandi	deny		proper noun
bandon	deny		proper noun
banff	deny		proper noun
bange	deny		proper noun
banus	deny		proper noun
barat	deny		proper noun
barca	deny		proper noun
barcas	deny		proper noun
barile	deny		proper noun
barkey	deny		proper noun
baroni	deny		proper noun
barp	deny		proper noun
barrie	deny		proper noun
basel	deny		proper noun
basle	deny		proper noun
basnet	deny		proper noun
bason	deny		proper noun
batea	deny		proper noun
baun	deny		proper noun
baur	deny		proper noun
baye	deny		proper noun
bayle	deny		proper noun
bayles	deny		proper noun
bchs	deny		proper noun
beare	deny		proper noun
bec	deny		proper noun
bef	deny		proper noun
behn	deny		proper noun
bela	deny		proper noun
belial	deny		proper noun
belli	deny		proper noun
bely	deny		proper noun
bendel	deny		proper noun
beng	deny		proper noun
beni	deny		proper noun
benin	deny		proper noun
benn	deny		proper noun
bennie	deny		proper noun
berat	deny		proper noun
bern	deny		proper noun
berne	deny		proper noun
berri	deny		proper noun
bervie	deny		proper noun
besant	deny		proper noun
bess	deny		proper noun
bessel	deny		proper noun
bevil	deny		proper noun
bhadon	deny		proper noun
bhat	deny		proper noun
bick	deny		proper noun
bidens	deny		proper noun
bien	deny		proper noun
bienne	deny		proper noun
biens	deny		proper noun
bihar	deny		proper noun
biri	deny		proper noun
birma	deny		proper noun
bito	deny		proper noun
blair	deny		proper noun
blanda	deny		proper noun
bley	deny		proper noun
bligh	deny		proper noun
blok	deny		proper noun
boann	deny		proper noun
boc	deny		proper noun
boca	deny		proper noun
boden	deny		proper noun
boe	deny		proper noun
boise	deny		proper noun
boks	deny		proper noun
boldin	deny		proper noun
bolly	deny		proper noun
bom	deny		proper noun
bomi	deny		proper noun
bon	deny		proper noun
bonn	deny		proper noun
bono	deny		proper noun
bonser	deny		proper noun
boole	deny		proper noun
boort	deny		proper noun
bootle	deny		proper noun
bordes	deny		proper noun
boser	deny		proper noun
bosher	deny		proper noun
botan	deny		proper noun
bowe	deny		proper noun
bowker	deny		proper noun
bown	deny		proper noun
boyne	deny		proper noun
bragg	deny		proper noun
brahm	deny		proper noun
brama	deny		proper noun
breck	deny		proper noun
breese	deny		proper noun
brer	deny		proper noun
brest	deny		proper noun
bret	deny		proper noun
brist	deny		proper noun
brl	deny		proper noun
brott	deny		proper noun
brum	deny		proper noun
bryan	deny		proper noun
bryon	deny		proper noun
bsf	deny		proper noun
buaya	deny		proper noun
buda	deny		proper noun
bude	deny		proper noun
burge	deny		proper noun
burma	deny		proper noun
burt	deny		proper noun
butes	deny		proper noun
butin	deny		proper noun
buto	deny		proper noun
byard	deny		proper noun
byron	deny		proper noun
cady	deny		proper noun
cai	deny		proper noun
cairo	deny		proper noun
calais	deny		proper noun
calos	deny		proper noun
calvin	deny		proper noun
camus	deny		proper noun
canale	deny		proper noun
canales	deny		proper noun
candie	deny		proper noun
canela	deny		proper noun
canelo	deny		proper noun
canelos	deny		proper noun
canham	deny		proper noun
cann	deny		proper noun
cannes	deny		proper noun
caplan	deny		proper noun
capul	deny		proper noun
carey	deny		proper noun
careys	deny		proper noun
carli	deny		proper noun
carlie	deny		proper noun
carlo	deny		proper noun
carmel	deny		proper noun
carne	deny		proper noun
carone	deny		proper noun
carson	deny		proper noun
carta	deny		proper noun
cartas	deny		proper noun
caryl	deny		proper noun
castile	deny		proper noun
castro	deny		proper noun
cath	deny		proper noun
cathy	deny		proper noun
cavish	deny		proper noun
cbc	deny		proper noun
ccitt	deny		proper noun
ccm	deny		proper noun
cdg	deny		proper noun
cebu	deny		proper noun
ceja	deny		proper noun
cens	deny		proper noun
centro	deny		proper noun
cera	deny		proper noun
cern	deny		proper noun
cerne	deny		proper noun
cesar	deny		proper noun
cesare	deny		proper noun
cest	deny		proper noun
cetus	deny		proper noun
cfc	deny		proper noun
chace	deny		proper noun
chaco	deny		proper noun
chait	deny		proper noun
chandi	deny		proper noun
chapin	deny		proper noun
chemin	deny		proper noun
chena	deny		proper noun
cheng	deny		proper noun
cher	deny		proper noun
chesnut	deny		proper noun
chien	deny		proper noun
chios	deny		proper noun
chislev	deny		proper noun
cho	deny		proper noun
chons	deny		proper noun
choson	deny		proper noun
chun	deny		proper noun
chung	deny		proper noun
cima	deny		proper noun
cira	deny		proper noun
circe	deny		proper noun
clair	deny		proper noun
clar	deny		proper noun
clarin	deny		proper noun
claus	deny		proper noun
cli	deny		proper noun
clites	deny		proper noun
cloes	deny		proper noun
clow	deny		proper noun
clows	deny		proper noun
cloyne	deny		proper noun
clum	deny		proper noun
coate	deny		proper noun
codette	deny		proper noun
colen	deny		proper noun
colima	deny		proper noun
collis	deny		proper noun
colmar	deny		proper noun
comino	deny		proper noun
comus	deny		proper noun
conrey	deny		proper noun
conta	deny		proper noun
cooner	deny		proper noun
copa	deny		proper noun
coppet	deny		proper noun
copps	deny		proper noun
coram	deny		proper noun
coran	deny		proper noun
corke	deny		proper noun
corser	deny		proper noun
corso	deny		proper noun
cort	deny		proper noun
cortes	deny		proper noun
cosen	deny		proper noun
cosin	deny		proper noun
cosins	deny		proper noun
coste	deny		proper noun
costes	deny		proper noun
cotman	deny		proper noun
cott	deny		proper noun
cottus	deny		proper noun
cpa	deny		proper noun
cpm	deny		proper noun
cpr	deny		proper noun
craik	deny		proper noun
crain	deny		proper noun
creagh	deny		proper noun
crecy	deny		proper noun
cres	deny		proper noun
creston	deny		proper noun
crimea	deny		proper noun
crink	deny		proper noun
crius	deny		proper noun
cronus	deny		proper noun
crose	deny		proper noun
crouts	deny		proper noun
cruce	deny		proper noun
crull	deny		proper noun
crum	deny		proper noun
csc	deny		proper noun
csi	deny		proper noun
csk	deny		proper noun
csp	deny		proper noun
cst	deny		proper noun
csw	deny		proper noun
cte	deny		proper noun
ctg	deny		proper noun
ctrl	deny		proper noun
cuba	deny		proper noun
cuca	deny		proper noun
cuda	deny		proper noun
culla	deny		proper noun
culp	deny		proper noun
culter	deny		proper noun
cura	deny		proper noun
curas	deny		proper noun
cushing	deny		proper noun
cust	deny		proper noun
cyrus	deny		proper noun
daba	deny		proper noun
dabb	deny		proper noun
dacca	deny		proper noun
dade	deny		proper noun
dagan	deny		proper noun
dagon	deny		proper noun
dail	deny		proper noun
dain	deny		proper noun
daines	deny		proper noun
daira	deny		proper noun
dakar	deny		proper noun
daker	deny		proper noun
damas	deny		proper noun
damon	deny		proper noun
dampier	deny		proper noun
dant	deny		proper noun
dante	deny		proper noun
dants	deny		proper noun
danube	deny		proper noun
dardic	deny		proper noun
darii	deny		proper noun
daris	deny		proper noun
dasi	deny		proper noun
dau	deny		proper noun
davis	deny		proper noun
dawe	deny		proper noun
dayal	deny		proper noun
dbm	deny		proper noun
deere	deny		proper noun
deeses	deny		proper noun
deipara	deny		proper noun
delhi	deny		proper noun
della	deny		proper noun
delph	deny		proper noun
delphi	deny		proper noun
deneb	deny		proper noun
dennis	deny		proper noun
denver	deny		proper noun
derner	deny		proper noun
deseret	deny		proper noun
destin	deny		proper noun
devore	deny		proper noun
dft	deny		proper noun
dhaka	deny		proper noun
diane	deny		proper noun
dicy	deny		proper noun
diem	deny		proper noun
dingee	deny		proper noun
dingman	deny		proper noun
dinus	deny		proper noun
dix	deny		proper noun
dobos	deny		proper noun
dolina	deny		proper noun
dollin	deny		proper noun
domer	deny		proper noun
donald	deny		proper noun
donar	deny		proper noun
donbas	deny		proper noun
dooley	deny		proper noun
dorey	deny		proper noun
dorn	deny		proper noun
doseh	deny		proper noun
doub	deny		proper noun
dover	deny		proper noun
dph	deny		proper noun
drago	deny		proper noun
draine	deny		proper noun
drona	deny		proper noun
drung	deny		proper noun
dtd	deny		proper noun
dublin	deny		proper noun
duenas	deny		proper noun
duer	deny		proper noun
dugal	deny		proper noun
dunkle	deny		proper noun
dunne	deny		proper noun
durga	deny		proper noun
durio	deny		proper noun
dutra	deny		proper noun
dylan	deny		proper noun
eblis	deny		proper noun
ebn	deny		proper noun
eboe	deny		proper noun
ebonics	deny		proper noun
ebro	deny		proper noun
ecb	deny		proper noun
ecc	deny		proper noun
ecg	deny		proper noun
ech	deny		proper noun
ecm	deny		proper noun
edam	deny		proper noun
edd	deny		proper noun
edda	deny		proper noun
edirne	deny		proper noun
edison	deny		proper noun
edith	deny		proper noun
edo	deny		proper noun
eec	deny		proper noun
efl	deny		proper noun
egypt	deny		proper noun
eimer	deny		proper noun
eine	deny		proper noun
eire	deny		proper noun
eisels	deny		proper noun
ela	deny		proper noun
elaine	deny		proper noun
elbe	deny		proper noun
eldings	deny		proper noun
electra	deny		proper noun
ellas	deny		proper noun
elle	deny		proper noun
ellul	deny		proper noun
elohim	deny		proper noun
elul	deny		proper noun
elvet	deny		proper noun
elysia	deny		proper noun
emile	deny		proper noun
emilia	deny		proper noun
emory	deny		proper noun
enage	deny		proper noun
ende	deny		proper noun
eneid	deny		proper noun
engels	deny		proper noun
engl	deny		proper noun
engle	deny		proper noun
eniac	deny		proper noun
enki	deny		proper noun
enlil	deny		proper noun
enright	deny		proper noun
eof	deny		proper noun
epa	deny		proper noun
epona	deny		proper noun
epsom	deny		proper noun
erato	deny		proper noun
erick	deny		proper noun
erika	deny		proper noun
erin	deny		proper noun
eris	deny		proper noun
erivan	deny		proper noun
ernest	deny		proper noun
esau	deny		proper noun
esc	deny		proper noun
espana	deny		proper noun
espinal	deny		proper noun
espino	deny		proper noun
esr	deny		proper noun
essen	deny		proper noun
esther	deny		proper noun
eton	deny		proper noun
euclid	deny		proper noun
euler	deny		proper noun
eure	deny		proper noun
euripos	deny		proper noun
eutony	deny		proper noun
evans	deny		proper noun
everly	deny		proper noun
ewing	deny		proper noun
ezo	deny		proper noun
ezra	deny		proper noun
facit	deny		proper noun
fage	deny		proper noun
fager	deny		proper noun
fahr	deny		proper noun
faits	deny		proper noun
fala	deny		proper noun
falco	deny		proper noun
falun	deny		proper noun
fant	deny		proper noun
fao	deny		proper noun
fargo	deny		proper noun
farren	deny		proper noun
farrens	deny		proper noun
faust	deny		proper noun
faver	deny		proper noun
fdic	deny		proper noun
fdr	deny		proper noun
feb	deny		proper noun
fei	deny		proper noun
feil	deny		proper noun
fenter	deny		proper noun
ferio	deny		proper noun
fermat	deny		proper noun
ferrer	deny		proper noun
ferri	deny		proper noun
fha	deny		proper noun
fica	deny		proper noun
ficos	deny		proper noun
fide	deny		proper noun
fidel	deny		proper noun
fides	deny		proper noun
fiel	deny		proper noun
fier	deny		proper noun
fieri	deny		proper noun
figo	deny		proper noun
fili	deny		proper noun
filla	deny		proper noun
findon	deny		proper noun
firenze	deny		proper noun
fitt	deny		proper noun
fll	deny		proper noun
flo	deny		proper noun
flores	deny		proper noun
flowe	deny		proper noun
fnma	deny		proper noun
fogo	deny		proper noun
fontes	deny		proper noun
foret	deny		proper noun
fot	deny		proper noun
foyle	deny		proper noun
frasco	deny		proper noun
frase	deny		proper noun
fraser	deny		proper noun
fresno	deny		proper noun
freud	deny		proper noun
frey	deny		proper noun
freya	deny		proper noun
freyr	deny		proper noun
frg	deny		proper noun
frigg	deny		proper noun
frison	deny		proper noun
fsb	deny		proper noun
fuerte	deny		proper noun
fugate	deny		proper noun
fulk	deny		proper noun
furr	deny		proper noun
fyle	deny		proper noun
gabler	deny		proper noun
gabon	deny		proper noun
gaea	deny		proper noun
gaia	deny		proper noun
gail	deny		proper noun
gainor	deny		proper noun
gair	deny		proper noun
galan	deny		proper noun
galt	deny		proper noun
ganesa	deny		proper noun
ganser	deny		proper noun
gansu	deny		proper noun
gant	deny		proper noun
ganton	deny		proper noun
gara	deny		proper noun
garbe	deny		proper noun
garon	deny		proper noun
gath	deny		proper noun
gaths	deny		proper noun
gatt	deny		proper noun
gatten	deny		proper noun
gaulin	deny		proper noun
gauri	deny		proper noun
gaut	deny		proper noun
gawain	deny		proper noun
gazi	deny		proper noun
geb	deny		proper noun
gebel	deny		proper noun
geer	deny		proper noun
geiger	deny		proper noun
gell	deny		proper noun
gemara	deny		proper noun
gerald	deny		proper noun
gere	deny		proper noun
geres	deny		proper noun
gerkin	deny		proper noun
germain	deny		proper noun
giesel	deny		proper noun
gile	deny		proper noun
giles	deny		proper noun
ginn	deny		proper noun
gio	deny		proper noun
gire	deny		proper noun
giri	deny		proper noun
giris	deny		proper noun
gironde	deny		proper noun
gisler	deny		proper noun
gitter	deny		proper noun
giunta	deny		proper noun
giza	deny		proper noun
glander	deny		proper noun
glauber	deny		proper noun
glenn	deny		proper noun
glick	deny		proper noun
glis	deny		proper noun
gmt	deny		proper noun
goar	deny		proper noun
godden	deny		proper noun
godiva	deny		proper noun
goen	deny		proper noun
goethe	deny		proper noun
goi	deny		proper noun
gol	deny		proper noun
gola	deny		proper noun
goliad	deny		proper noun
golias	deny		proper noun
gollan	deny		proper noun
goold	deny		proper noun
gooley	deny		proper noun
goran	deny		proper noun
gorki	deny		proper noun
gorlois	deny		proper noun
gorst	deny		proper noun
gos	deny		proper noun
gotha	deny		proper noun
gpm	deny		proper noun
gra	deny		proper noun
gracy	deny		proper noun
granet	deny		proper noun
granma	deny		proper noun
gras	deny		proper noun
grasset	deny		proper noun
gratton	deny		proper noun
grein	deny		proper noun
greins	deny		proper noun
grenada	deny		proper noun
greta	deny		proper noun
greve	deny		proper noun
grews	deny		proper noun
grint	deny		proper noun
groff	deny		proper noun
groot	deny		proper noun
grosse	deny		proper noun
grote	deny		proper noun
grover	deny		proper noun
gtc	deny		proper noun
gte	deny		proper noun
guam	deny		proper noun
gui	deny		proper noun
gumi	deny		proper noun
gurr	deny		proper noun
guyer	deny		proper noun
gwyn	deny		proper noun
gympie	deny		proper noun
hable	deny		proper noun
hadden	deny		proper noun
haf	deny		proper noun
hagg	deny		proper noun
hague	deny		proper noun
haire	deny		proper noun
haiti	deny		proper noun
hak	deny		proper noun
haman	deny		proper noun
hamel	deny		proper noun
handel	deny		proper noun
hanoi	deny		proper noun
hanover	deny		proper noun
hans	deny		proper noun
harare	deny		proper noun
hardie	deny		proper noun
harding	deny		proper noun
harlem	deny		proper noun
harre	deny		proper noun
hasan	deny		proper noun
hatt	deny		proper noun
hau	deny		proper noun
hayle	deny		proper noun
hayne	deny		proper noun
hayti	deny		proper noun
hdlc	deny		proper noun
hecate	deny		proper noun
heep	deny		proper noun
hei	deny		proper noun
heid	deny		proper noun
heids	deny		proper noun
heily	deny		proper noun
hel	deny		proper noun
hela	deny		proper noun
helena	deny		proper noun
hendy	deny		proper noun
heo	deny		proper noun
herne	deny		proper noun
herod	deny		proper noun
hert	deny		proper noun
hesper	deny		proper noun
hestia	deny		proper noun
hhd	deny		proper noun
hia	deny		proper noun
hieron	deny		proper noun
hilary	deny		proper noun
hild	deny		proper noun
hine	deny		proper noun
hings	deny		proper noun
hirst	deny		proper noun
histon	deny		proper noun
hobart	deny		proper noun
hoc	deny		proper noun
hoey	deny		proper noun
hoh	deny		proper noun
hohs	deny		proper noun
hokan	deny		proper noun
hol	deny		proper noun
holi	deny		proper noun
holl	deny		proper noun
holme	deny		proper noun
hom	deny		proper noun
hondo	deny		proper noun
hoople	deny		proper noun
horus	deny		proper noun
hosea	deny		proper noun
hotei	deny		proper noun
hoth	deny		proper noun
hoti	deny		proper noun
hough	deny		proper noun
hsian	deny		proper noun
html	deny		proper noun
http	deny		proper noun
hugh	deny		proper noun
huhs	deny		proper noun
huies	deny		proper noun
huma	deny		proper noun
huse	deny		proper noun
hust	deny		proper noun
hyde	deny		proper noun
hynd	deny		proper noun
hynde	deny		proper noun
hyne	deny		proper noun
iaea	deny		proper noun
iago	deny		proper noun
iba	deny		proper noun
ibrd	deny		proper noun
ibsen	deny		proper noun
icao	deny		proper noun
icarus	deny		proper noun
ido	deny		proper noun
ieee	deny		proper noun
ifc	deny		proper noun
ife	deny		proper noun
ihs	deny		proper noun
ile	deny		proper noun
ilo	deny		proper noun
imber	deny		proper noun
imf	deny		proper noun
inde	deny		proper noun
india	deny		proper noun
indra	deny		proper noun
indus	deny		proper noun
inger	deny		proper noun
ingerman	deny		proper noun
ingram	deny		proper noun
ingrum	deny		proper noun
iof	deny		proper noun
ionia	deny		proper noun
ipl	deny		proper noun
ipso	deny		proper noun
ira	deny		proper noun
irak	deny		proper noun
iran	deny		proper noun
iraq	deny		proper noun
isaac	deny		proper noun
ise	deny		proper noun
iseult	deny		proper noun
ishtar	deny		proper noun
iskcon	deny		proper noun
islam	deny		proper noun
isolde	deny		proper noun
israel	deny		proper noun
issus	deny		proper noun
italy	deny		proper noun
iva	deny		proper noun
ive	deny		proper noun
ivry	deny		proper noun
iyar	deny		proper noun
jai	deny		proper noun
jan	deny		proper noun
janet	deny		proper noun
janus	deny		proper noun
jason	deny		proper noun
jed	deny		proper noun
jen	deny		proper noun
jena	deny		proper noun
jeune	deny		proper noun
jinny	deny		proper noun
joie	deny		proper noun
jose	deny		proper noun
jude	deny		proper noun
jung	deny		proper noun
juno	deny		proper noun
kabel	deny		proper noun
kacha	deny		proper noun
kant	deny		proper noun
kapur	deny		proper noun
karch	deny		proper noun
kaser	deny		proper noun
kath	deny		proper noun
keats	deny		proper noun
keena	deny		proper noun
kera	deny		proper noun
kerl	deny		proper noun
kesse	deny		proper noun
khar	deny		proper noun
kidd	deny		proper noun
kiel	deny		proper noun
kight	deny		proper noun
kil	deny		proper noun
kiley	deny		proper noun
kim	deny		proper noun
kinch	deny		proper noun
kipp	deny		proper noun
kipps	deny		proper noun
kissel	deny		proper noun
klan	deny		proper noun
kln	deny		proper noun
knuth	deny		proper noun
koil	deny		proper noun
